Wavelength (nm),absorption coefficient,relative refractive index
350.0,9.95448979592e-05,1.35820381126
351.0,0.000105248571428,1.35800249096
352.0,0.0001105,1.35780220749
353.0,0.000115308979592,1.3576029691
354.0,0.000119685306122,1.35740478406
355.0,0.00012363877551,1.35720762758
356.0,0.000127179183673,1.35701066185
357.0,0.000130316326531,1.35681427797
358.0,0.00013306,1.3566195049
359.0,0.00013542,1.35642737162
360.0,0.000137406122449,1.35623890851
361.0,0.000139028163265,1.35605451432
362.0,0.000140295918367,1.35587309744
363.0,0.000141219183673,1.35569336915
364.0,0.000141807755102,1.35551404077
365.0,0.000142071428571,1.35533382892
366.0,0.00014202,1.35515223137
367.0,0.000141663265306,1.35497031937
368.0,0.000141011020408,1.3547893508
369.0,0.000140073061224,1.35461058355
370.0,0.000138859183673,1.35443525341
371.0,0.000137379183673,1.35426340221
372.0,0.000135642857143,1.35409412203
373.0,0.00013366,1.35392664212
374.0,0.000131440408163,1.35376019169
375.0,0.000128993877551,1.353594
376.0,0.000126330204082,1.35342787748
377.0,0.000123459183673,1.35326234355
378.0,0.000120390612245,1.35309769095
379.0,0.000117134285714,1.35293421239
380.0,0.0001137,1.35277220059
381.0,0.00011009755102,1.35261192928
382.0,0.000106336734694,1.35245330066
383.0,0.000102202238534,1.35229595992
384.0,9.73478285072e-05,1.35213954907
385.0,9.41e-05,1.35198366501
386.0,9.30325404724e-05,1.35182785203
387.0,9.22755867717e-05,1.35167257089
388.0,9.066864e-05,1.3515184427
389.0,8.756048e-05,1.35136608857
390.0,8.51e-05,1.35121613076
391.0,8.40282526316e-05,1.35106903419
392.0,8.32603368421e-05,1.35092425167
393.0,8.25685224172e-05,1.35078094392
394.0,8.20096140351e-05,1.35063827163
395.0,8.13e-05,1.35049539552
396.0,8.01829013333e-05,1.35035151641
397.0,7.85494980741e-05,1.35020681219
398.0,7.59160426667e-05,1.35006240548
399.0,7.1080032e-05,1.34991945436
400.0,6.63e-05,1.34977911331
401.0,6.25549894737e-05,1.34964172534
402.0,5.92586526316e-05,1.34950646549
403.0,5.67095578947e-05,1.34937253254
404.0,5.46319578947e-05,1.3492391253
405.0,5.3e-05,1.34910549186
406.0,5.18210947368e-05,1.34897167736
407.0,5.08331789474e-05,1.34883811503
408.0,4.97032693498e-05,1.34870519891
409.0,4.84389226006e-05,1.34857332306
410.0,4.73e-05,1.34844288151
411.0,4.63162628803e-05,1.34831418636
412.0,4.54876446247e-05,1.34818703966
413.0,4.49787365517e-05,1.34806105243
414.0,4.46164524138e-05,1.34793583557
415.0,4.44e-05,1.347811
416.0,4.428352e-05,1.34768660755
417.0,4.421056e-05,1.34756289323
418.0,4.42768e-05,1.34743972773
419.0,4.47616e-05,1.3473169817
420.0,4.54e-05,1.34719451659
421.0,4.6256e-05,1.34707203423
422.0,4.71546666667e-05,1.34694976428
423.0,4.75141333333e-05,1.3468281448
424.0,4.76656e-05,1.34670761385
425.0,4.78e-05,1.34658855668
426.0,4.79396705882e-05,1.34647074516
427.0,4.80928941176e-05,1.34635398677
428.0,4.83794695187e-05,1.34623817511
429.0,4.89479657754e-05,1.34612320379
430.0,4.95e-05,1.34600902207
431.0,4.98415979221e-05,1.34589582369
432.0,5.01692820779e-05,1.3457834713
433.0,5.07320806015e-05,1.34567176808
434.0,5.17205341353e-05,1.34556051726
435.0,5.3e-05,1.34544952066
436.0,5.47497744361e-05,1.34533873739
437.0,5.69189974937e-05,1.34522838878
438.0,5.90573727422e-05,1.34511871575
439.0,6.12338916256e-05,1.34500995926
440.0,6.35e-05,1.34490230867
441.0,6.59248551724e-05,1.34479558695
442.0,6.84102896552e-05,1.3446897059
443.0,7.0704891405e-05,1.34458461681
444.0,7.27854595986e-05,1.34448027099
445.0,7.51e-05,1.34437665457
446.0,7.79985946059e-05,1.34427397904
447.0,8.12978475343e-05,1.34417209534
448.0,8.48457842063e-05,1.34407076456
449.0,8.88817482267e-05,1.34396974782
450.0,9.22e-05,1.34386880547
451.0,9.47503079137e-05,1.3437677976
452.0,9.66102906475e-05,1.34366693502
453.0,9.68458666667e-05,1.34356649582
454.0,9.65304e-05,1.34346675811
455.0,9.62e-05,1.343368
456.0,9.594e-05,1.34327046873
457.0,9.57333333333e-05,1.34317396886
458.0,9.58525333333e-05,1.3430781145
459.0,9.67824e-05,1.34298251974
460.0,9.79e-05,1.34288679865
461.0,9.90648e-05,1.34279055593
462.0,0.000100181066667,1.34269390246
463.0,0.00010066416,1.34259752223
464.0,0.00010087872,1.34250211732
465.0,0.0001011,1.34240829116
466.0,0.000101379418776,1.34231577283
467.0,0.000101741358367,1.34222419157
468.0,0.000102494367347,1.34213323285
469.0,0.000104239346939,1.34204258218
470.0,0.000106,1.34195192618
471.0,0.000107189714286,1.34186118893
472.0,0.000108317714286,1.34177058856
473.0,0.000109813333333,1.34168031825
474.0,0.00011176,1.3415905712
475.0,0.000114,1.34150154059
476.0,0.000116683692308,1.3414133734
477.0,0.000119631589744,1.34132598172
478.0,0.000122297476923,1.34123924941
479.0,0.000124817107692,1.34115306422
480.0,0.000127,1.34106732182
481.0,0.000128672533333,1.34098205254
482.0,0.000130168711111,1.34089724356
483.0,0.000131891965812,1.34081284384
484.0,0.000133780512821,1.34072880234
485.0,0.000136,1.34064506803
486.0,0.000139043868132,1.34056159399
487.0,0.000142487208791,1.34047841708
488.0,0.000145245714286,1.34039564214
489.0,0.000147394285714,1.34031337562
490.0,0.00015,1.34023172758
491.0,0.000154274086957,1.3401508404
492.0,0.000159538782609,1.34007056876
493.0,0.000164176251874,1.33999067263
494.0,0.000168263568216,1.33991091198
495.0,0.000173,1.3398310468
496.0,0.000179853054505,1.33975079035
497.0,0.00018763257842,1.3396699566
498.0,0.000193744711421,1.33958911285
499.0,0.000198444749782,1.33950891026
500.0,0.000204,1.33943
501.0,0.000212395309771,1.33935271186
502.0,0.000222735367983,1.33927660175
503.0,0.000233393230769,1.33920115995
504.0,0.000244903384615,1.33912587678
505.0,0.000256,1.33905027056
506.0,0.000265164628763,1.33897445028
507.0,0.000274324120401,1.33889863427
508.0,0.000287215652174,1.33882293946
509.0,0.000305544347826,1.33874748277
510.0,0.000325,1.33867238114
511.0,0.000345114503368,1.3385977118
512.0,0.000364516149418,1.33852333922
513.0,0.000378392488263,1.33844930386
514.0,0.000389834366197,1.33837568423
515.0,0.000396,1.33830255885
516.0,0.000397380923077,1.33822999077
517.0,0.000398267897436,1.33815793739
518.0,0.000400367239819,1.33808631221
519.0,0.00040473719457,1.33801502862
520.0,0.000409,1.337944
521.0,0.000412481882353,1.33787316881
522.0,0.000415311529412,1.33780258949
523.0,0.000416269333333,1.33773234342
524.0,0.000416552,1.33766251196
525.0,0.000417,1.33759317811
526.0,0.000420390588235,1.33752442126
527.0,0.000425920784314,1.33745614205
528.0,0.000429355145511,1.33738819045
529.0,0.000431451095975,1.33732041646
530.0,0.000434,1.33725268512
531.0,0.000439064982456,1.33718511242
532.0,0.000444986292398,1.33711772206
533.0,0.000448208654971,1.3370504638
534.0,0.000449872280702,1.33698328742
535.0,0.000452,1.33691612028
536.0,0.000457011598086,1.33684880146
537.0,0.000463476516746,1.33678150838
538.0,0.000467801359684,1.33671448663
539.0,0.00047065884585,1.33664798181
540.0,0.000474,1.33658221966
541.0,0.000479070176263,1.33651715795
542.0,0.0004854906698,1.33645259129
543.0,0.000492808576577,1.33638831542
544.0,0.000501536432432,1.33632412607
545.0,0.000511,1.33625983259
546.0,0.000520995555556,1.33619545521
547.0,0.000531607407407,1.33613116791
548.0,0.000542467259259,1.33606714687
549.0,0.000553700444444,1.3360035683
550.0,0.000565,1.33594056631
551.0,0.000578367741935,1.33587799735
552.0,0.000590290322581,1.33581582371
553.0,0.000593857985112,1.33575404228
554.0,0.00059479964268,1.33569264993
555.0,0.000596,1.33563167849
556.0,0.000599099397993,1.33557135732
557.0,0.000603660735786,1.33551150169
558.0,0.000608285074169,1.33545183168
559.0,0.000613196746803,1.3353920674
560.0,0.000619,1.33533192581
561.0,0.000628353861893,1.33527118746
562.0,0.000637862404092,1.33521013219
563.0,0.000640555478261,1.33514916279
564.0,0.000641106608696,1.33508868202
565.0,0.000642,1.33502909223
566.0,0.000650600377358,1.33497058826
567.0,0.000665667169811,1.33491286396
568.0,0.000676807846582,1.33485554282
569.0,0.000685277196412,1.33479824833
570.0,0.000695,1.33474060398
571.0,0.000708807049606,1.33468231686
572.0,0.000725037814775,1.33462357057
573.0,0.00074043225621,1.33456470707
574.0,0.000754988269827,1.33450606786
575.0,0.000772,1.33444799444
576.0,0.000795561300345,1.33439076161
577.0,0.000822967170686,1.33433420677
578.0,0.000847833624288,1.33427811761
