3.208457710999999790e+01,3.184850865565574551e+01,1.484635308738769810e+00
3.162437810999999854e+01,3.193107468185807107e+01,1.994594445724013898e+00
3.072636815999999982e+01,3.144117813564808017e+01,4.640516389775635631e+00
2.889925373000000164e+01,2.776340527541399439e+01,4.312143148837233042e+00
2.755099501999999845e+01,2.693640090123947317e+01,4.222111610064645859e+00
2.647636815999999982e+01,2.596426177331101925e+01,4.117408759950843766e+00
2.241293531999999900e+01,2.302094758739419333e+01,4.068731831238504348e+00
2.110945273999999827e+01,2.183091232739256071e+01,4.099784520109928110e+00
1.914054726000000173e+01,2.051644242438926113e+01,4.242557240648774375e+00
1.806716417999999891e+01,1.679677917782841590e+01,4.342350665898274897e+00
