2.420566146999999901e+01,2.357809513086717246e+01,4.274713712064865057e+00
2.410377606000000128e+01,2.357809513086717246e+01,4.306398917637727308e+00
2.400609212000000170e+01,2.357809513086717246e+01,4.172123888776451572e+00
2.337692347999999853e+01,2.357809513086717246e+01,3.698903073960686516e+00
2.300719499999999940e+01,2.357809513086717246e+01,3.932226533758621301e+00
2.211333438000000129e+01,2.255170337412529236e+01,3.281099888824137167e+00
2.161125991000000113e+01,2.193616387991371042e+01,3.123402603138912603e+00
1.136494931999999913e+01,1.184218666189625147e+01,1.518648604640960187e+00
1.100467412000000067e+01,1.085294068800033607e+01,1.708040363901264902e+00
1.035869965000000015e+01,1.001910181832998070e+01,2.811381927741703812e+00
1.008035291999999927e+01,9.136623098437238966e+00,2.848469614575467102e+00
9.506853632000000331e+00,8.720680374473010588e+00,1.841099671510285862e+00
9.209600335999999388e+00,9.867374860374571455e+00,2.830862679872086396e+00
8.310487894999999625e+00,9.104144786821743551e+00,2.331713823360104687e+00
7.342051363000000386e+00,7.880966936724690619e+00,3.654461651327939986e+00
3.943070216999999822e+00,4.221001269973908343e+00,3.552393352605649035e+00
3.429441730999999827e+00,3.270782846438521574e+00,3.930567877661922616e+00
2.993540255000000094e+00,2.760078585575474364e+00,4.121419694315513915e+00
2.650070899999999785e+00,2.176000523011035082e+00,4.320843219421743875e+00
