Wavelength,Reflectance,Solar zenith,Solar azimuth,Sensor zenith,Sensor azimuth
890.493,0,38.41,257.42,11.4227818446669,314.9388758
900.066,0,38.41,257.42,11.4227818446669,314.9388758
909.638,0.103157,38.41,257.42,11.4227818446669,314.9388758
919.211,0.152975,38.41,257.42,11.4227818446669,314.9388758
928.783,0.137507,38.41,257.42,11.4227818446669,314.9388758
938.356,0.132871,38.41,257.42,11.4227818446669,314.9388758
947.928,0.15315,38.41,257.42,11.4227818446669,314.9388758
957.5,0.148408,38.41,257.42,11.4227818446669,314.9388758
967.073,0.147265,38.41,257.42,11.4227818446669,314.9388758
976.645,0.142513,38.41,257.42,11.4227818446669,314.9388758
986.218,0.145141,38.41,257.42,11.4227818446669,314.9388758
995.79,0.14446,38.41,257.42,11.4227818446669,314.9388758
1005.36,0.146547,38.41,257.42,11.4227818446669,314.9388758
1014.94,0.147719,38.41,257.42,11.4227818446669,314.9388758
1024.51,0.149232,38.41,257.42,11.4227818446669,314.9388758
1034.08,0.150652,38.41,257.42,11.4227818446669,314.9388758
1043.65,0.150981,38.41,257.42,11.4227818446669,314.9388758
1053.23,0.152498,38.41,257.42,11.4227818446669,314.9388758
1062.8,0.152846,38.41,257.42,11.4227818446669,314.9388758
1072.37,0.153161,38.41,257.42,11.4227818446669,314.9388758
1081.94,0.154696,38.41,257.42,11.4227818446669,314.9388758
1091.52,0.15465,38.41,257.42,11.4227818446669,314.9388758
1101.09,0.153987,38.41,257.42,11.4227818446669,314.9388758
1110.66,0.150833,38.41,257.42,11.4227818446669,314.9388758
1120.23,0.154588,38.41,257.42,11.4227818446669,314.9388758
1129.81,0.174505,38.41,257.42,11.4227818446669,314.9388758
1139.38,0.16868,38.41,257.42,11.4227818446669,314.9388758
1148.95,0.165303,38.41,257.42,11.4227818446669,314.9388758
1158.52,0.165149,38.41,257.42,11.4227818446669,314.9388758
1168.1,0.159287,38.41,257.42,11.4227818446669,314.9388758
1177.67,0.158321,38.41,257.42,11.4227818446669,314.9388758
1187.24,0.161138,38.41,257.42,11.4227818446669,314.9388758
1196.81,0.158822,38.41,257.42,11.4227818446669,314.9388758
1206.39,0.163199,38.41,257.42,11.4227818446669,314.9388758
1215.96,0.164379,38.41,257.42,11.4227818446669,314.9388758
1225.53,0.165645,38.41,257.42,11.4227818446669,314.9388758
1235.1,0.166101,38.41,257.42,11.4227818446669,314.9388758
1244.68,0.167252,38.41,257.42,11.4227818446669,314.9388758
1254.25,0.166958,38.41,257.42,11.4227818446669,314.9388758
1263.82,0.168543,38.41,257.42,11.4227818446669,314.9388758
1273.39,0.171883,38.41,257.42,11.4227818446669,314.9388758
1282.97,0.172913,38.41,257.42,11.4227818446669,314.9388758
1292.54,0.171577,38.41,257.42,11.4227818446669,314.9388758
