Wavelength,Reflectance,Solar zenith,Solar azimuth,Sensor zenith,Sensor azimuth
890.493,0.179418,40.74,105.08,12.0999779991326,298.1934687
900.066,0.193508,40.74,105.08,12.0999779991326,298.1934687
909.638,0.220063,40.74,105.08,12.0999779991326,298.1934687
919.211,0.2363,40.74,105.08,12.0999779991326,298.1934687
928.783,0.22089,40.74,105.08,12.0999779991326,298.1934687
938.356,0.225708,40.74,105.08,12.0999779991326,298.1934687
947.928,0.238085,40.74,105.08,12.0999779991326,298.1934687
957.5,0.249305,40.74,105.08,12.0999779991326,298.1934687
967.073,0.255459,40.74,105.08,12.0999779991326,298.1934687
976.645,0.254832,40.74,105.08,12.0999779991326,298.1934687
986.218,0.25954,40.74,105.08,12.0999779991326,298.1934687
995.79,0.26243,40.74,105.08,12.0999779991326,298.1934687
1005.36,0.263234,40.74,105.08,12.0999779991326,298.1934687
1014.94,0.266657,40.74,105.08,12.0999779991326,298.1934687
1024.51,0.269435,40.74,105.08,12.0999779991326,298.1934687
1034.08,0.271608,40.74,105.08,12.0999779991326,298.1934687
1043.65,0.272703,40.74,105.08,12.0999779991326,298.1934687
1053.23,0.275743,40.74,105.08,12.0999779991326,298.1934687
1062.8,0.274412,40.74,105.08,12.0999779991326,298.1934687
1072.37,0.27549,40.74,105.08,12.0999779991326,298.1934687
1081.94,0.276047,40.74,105.08,12.0999779991326,298.1934687
1091.52,0.279083,40.74,105.08,12.0999779991326,298.1934687
1101.09,0.277652,40.74,105.08,12.0999779991326,298.1934687
1110.66,0.271207,40.74,105.08,12.0999779991326,298.1934687
1120.23,0.266762,40.74,105.08,12.0999779991326,298.1934687
1129.81,0.276773,40.74,105.08,12.0999779991326,298.1934687
1139.38,0.284072,40.74,105.08,12.0999779991326,298.1934687
1148.95,0.280437,40.74,105.08,12.0999779991326,298.1934687
1158.52,0.282737,40.74,105.08,12.0999779991326,298.1934687
1168.1,0.283869,40.74,105.08,12.0999779991326,298.1934687
1177.67,0.28408,40.74,105.08,12.0999779991326,298.1934687
1187.24,0.286163,40.74,105.08,12.0999779991326,298.1934687
1196.81,0.28812,40.74,105.08,12.0999779991326,298.1934687
1206.39,0.292567,40.74,105.08,12.0999779991326,298.1934687
1215.96,0.295268,40.74,105.08,12.0999779991326,298.1934687
1225.53,0.298963,40.74,105.08,12.0999779991326,298.1934687
1235.1,0.301394,40.74,105.08,12.0999779991326,298.1934687
1244.68,0.304304,40.74,105.08,12.0999779991326,298.1934687
1254.25,0.30597,40.74,105.08,12.0999779991326,298.1934687
1263.82,0.30624,40.74,105.08,12.0999779991326,298.1934687
1273.39,0.308045,40.74,105.08,12.0999779991326,298.1934687
1282.97,0.309785,40.74,105.08,12.0999779991326,298.1934687
1292.54,0.311383,40.74,105.08,12.0999779991326,298.1934687
1302.11,0.310809,40.74,105.08,12.0999779991326,298.1934687
1311.68,0.308796,40.74,105.08,12.0999779991326,298.1934687
1321.26,0.311515,40.74,105.08,12.0999779991326,298.1934687
1330.83,0.301721,40.74,105.08,12.0999779991326,298.1934687
1340.4,0.299412,40.74,105.08,12.0999779991326,298.1934687
1349.97,0.236298,40.74,105.08,12.0999779991326,298.1934687
1359.55,-0.025974,40.74,105.08,12.0999779991326,298.1934687
1369.12,-0.109231,40.74,105.08,12.0999779991326,298.1934687
1378.69,0.011945,40.74,105.08,12.0999779991326,298.1934687
1388.26,0.122257,40.74,105.08,12.0999779991326,298.1934687
1397.84,0.008779,40.74,105.08,12.0999779991326,298.1934687
1407.41,0.128523,40.74,105.08,12.0999779991326,298.1934687
1416.98,0.139763,40.74,105.08,12.0999779991326,298.1934687
1426.55,0.210375,40.74,105.08,12.0999779991326,298.1934687
1436.12,0.19434,40.74,105.08,12.0999779991326,298.1934687
1445.7,0.204719,40.74,105.08,12.0999779991326,298.1934687
1455.27,0.217546,40.74,105.08,12.0999779991326,298.1934687
1464.84,0.212532,40.74,105.08,12.0999779991326,298.1934687
1474.41,0.223889,40.74,105.08,12.0999779991326,298.1934687
1483.99,0.228777,40.74,105.08,12.0999779991326,298.1934687
1493.56,0.240594,40.74,105.08,12.0999779991326,298.1934687
1503.13,0.246209,40.74,105.08,12.0999779991326,298.1934687
1512.7,0.255598,40.74,105.08,12.0999779991326,298.1934687
1522.28,0.264818,40.74,105.08,12.0999779991326,298.1934687
1531.85,0.272616,40.74,105.08,12.0999779991326,298.1934687
1541.42,0.279532,40.74,105.08,12.0999779991326,298.1934687
1550.99,0.285756,40.74,105.08,12.0999779991326,298.1934687
1560.57,0.290939,40.74,105.08,12.0999779991326,298.1934687
1570.14,0.296892,40.74,105.08,12.0999779991326,298.1934687
1579.71,0.299724,40.74,105.08,12.0999779991326,298.1934687
1589.28,0.304953,40.74,105.08,12.0999779991326,298.1934687
1598.86,0.309602,40.74,105.08,12.0999779991326,298.1934687
1608.43,0.31067,40.74,105.08,12.0999779991326,298.1934687
1618,0.313307,40.74,105.08,12.0999779991326,298.1934687
1627.57,0.317417,40.74,105.08,12.0999779991326,298.1934687
1637.15,0.31829,40.74,105.08,12.0999779991326,298.1934687
1646.72,0.315331,40.74,105.08,12.0999779991326,298.1934687
1656.29,0.314958,40.74,105.08,12.0999779991326,298.1934687
1665.86,0.329481,40.74,105.08,12.0999779991326,298.1934687
1675.44,0.338697,40.74,105.08,12.0999779991326,298.1934687
1685.01,0.337445,40.74,105.08,12.0999779991326,298.1934687
1694.58,0.33704,40.74,105.08,12.0999779991326,298.1934687
1704.15,0.334286,40.74,105.08,12.0999779991326,298.1934687
1713.73,0.334993,40.74,105.08,12.0999779991326,298.1934687
1723.3,0.33206,40.74,105.08,12.0999779991326,298.1934687
1732.87,0.329518,40.74,105.08,12.0999779991326,298.1934687
1742.44,0.325982,40.74,105.08,12.0999779991326,298.1934687
1752.02,0.323617,40.74,105.08,12.0999779991326,298.1934687
1761.59,0.317029,40.74,105.08,12.0999779991326,298.1934687
1771.16,0.313611,40.74,105.08,12.0999779991326,298.1934687
1780.73,0.306484,40.74,105.08,12.0999779991326,298.1934687
1790.31,0.30228,40.74,105.08,12.0999779991326,298.1934687
1799.88,0.302165,40.74,105.08,12.0999779991326,298.1934687
1809.45,0.222539,40.74,105.08,12.0999779991326,298.1934687
1819.02,0.084221,40.74,105.08,12.0999779991326,298.1934687
1828.6,-0.049358,40.74,105.08,12.0999779991326,298.1934687
1838.17,-1.101921,40.74,105.08,12.0999779991326,298.1934687
1847.74,-0.502026,40.74,105.08,12.0999779991326,298.1934687
1857.31,-0.047326,40.74,105.08,12.0999779991326,298.1934687
1866.89,-0.002758,40.74,105.08,12.0999779991326,298.1934687
1876.46,-0.74446,40.74,105.08,12.0999779991326,298.1934687
1886.03,-0.605386,40.74,105.08,12.0999779991326,298.1934687
1895.6,-0.773494,40.74,105.08,12.0999779991326,298.1934687
1905.18,-0.558725,40.74,105.08,12.0999779991326,298.1934687
1914.75,-0.478133,40.74,105.08,12.0999779991326,298.1934687
1924.32,-0.194038,40.74,105.08,12.0999779991326,298.1934687
1933.89,0.104303,40.74,105.08,12.0999779991326,298.1934687
1943.47,0.121496,40.74,105.08,12.0999779991326,298.1934687
1953.04,0.101668,40.74,105.08,12.0999779991326,298.1934687
1962.61,0.142357,40.74,105.08,12.0999779991326,298.1934687
1972.18,0.154337,40.74,105.08,12.0999779991326,298.1934687
1981.76,0.155134,40.74,105.08,12.0999779991326,298.1934687
1991.33,0.1608,40.74,105.08,12.0999779991326,298.1934687
2000.9,0.153824,40.74,105.08,12.0999779991326,298.1934687
2010.47,0.168249,40.74,105.08,12.0999779991326,298.1934687
2020.05,0.18789,40.74,105.08,12.0999779991326,298.1934687
2029.62,0.197026,40.74,105.08,12.0999779991326,298.1934687
2039.19,0.200133,40.74,105.08,12.0999779991326,298.1934687
2048.76,0.201994,40.74,105.08,12.0999779991326,298.1934687
2058.34,0.213667,40.74,105.08,12.0999779991326,298.1934687
2067.91,0.218869,40.74,105.08,12.0999779991326,298.1934687
2077.48,0.228734,40.74,105.08,12.0999779991326,298.1934687
2087.05,0.231536,40.74,105.08,12.0999779991326,298.1934687
2096.63,0.238609,40.74,105.08,12.0999779991326,298.1934687
2106.2,0.246111,40.74,105.08,12.0999779991326,298.1934687
2115.77,0.247135,40.74,105.08,12.0999779991326,298.1934687
2125.34,0.253309,40.74,105.08,12.0999779991326,298.1934687
2134.92,0.265568,40.74,105.08,12.0999779991326,298.1934687
2144.49,0.26607,40.74,105.08,12.0999779991326,298.1934687
2154.06,0.26253,40.74,105.08,12.0999779991326,298.1934687
2163.63,0.272761,40.74,105.08,12.0999779991326,298.1934687
2173.21,0.267921,40.74,105.08,12.0999779991326,298.1934687
2182.78,0.268516,40.74,105.08,12.0999779991326,298.1934687
2192.35,0.269591,40.74,105.08,12.0999779991326,298.1934687
2201.92,0.264101,40.74,105.08,12.0999779991326,298.1934687
2211.5,0.266461,40.74,105.08,12.0999779991326,298.1934687
2221.07,0.264421,40.74,105.08,12.0999779991326,298.1934687
2230.64,0.266001,40.74,105.08,12.0999779991326,298.1934687
2240.21,0.270548,40.74,105.08,12.0999779991326,298.1934687
2249.79,0.276706,40.74,105.08,12.0999779991326,298.1934687
2259.36,0.280192,40.74,105.08,12.0999779991326,298.1934687
2268.93,0.27159,40.74,105.08,12.0999779991326,298.1934687
2278.5,0.271747,40.74,105.08,12.0999779991326,298.1934687
2288.08,0.262648,40.74,105.08,12.0999779991326,298.1934687
2297.65,0.256453,40.74,105.08,12.0999779991326,298.1934687
2307.22,0.256263,40.74,105.08,12.0999779991326,298.1934687
2316.79,0.252602,40.74,105.08,12.0999779991326,298.1934687
2326.37,0.249179,40.74,105.08,12.0999779991326,298.1934687
2335.94,0.239854,40.74,105.08,12.0999779991326,298.1934687
2345.51,0.233803,40.74,105.08,12.0999779991326,298.1934687
2355.08,0.241231,40.74,105.08,12.0999779991326,298.1934687
2364.66,0.226308,40.74,105.08,12.0999779991326,298.1934687
2374.23,0.223253,40.74,105.08,12.0999779991326,298.1934687
2383.8,0.205967,40.74,105.08,12.0999779991326,298.1934687
2393.37,0.206045,40.74,105.08,12.0999779991326,298.1934687
2402.95,0,40.74,105.08,12.0999779991326,298.1934687
2412.52,0,40.74,105.08,12.0999779991326,298.1934687
2422.09,0,40.74,105.08,12.0999779991326,298.1934687
2431.66,0,40.74,105.08,12.0999779991326,298.1934687
2441.24,0,40.74,105.08,12.0999779991326,298.1934687
2450.81,0,40.74,105.08,12.0999779991326,298.1934687
2460.38,0,40.74,105.08,12.0999779991326,298.1934687
2469.95,0,40.74,105.08,12.0999779991326,298.1934687
2479.53,0,40.74,105.08,12.0999779991326,298.1934687
2489.1,0,40.74,105.08,12.0999779991326,298.1934687
2498.67,0,40.74,105.08,12.0999779991326,298.1934687
2508.24,0,40.74,105.08,12.0999779991326,298.1934687
