Wavelength,Reflectance,Solar zenith,Solar azimuth,Sensor zenith,Sensor azimuth
890.493,0,18.27,213.31,5.85825010518945,283.5286873
900.066,0,18.27,213.31,5.85825010518945,283.5286873
909.638,0.352241,18.27,213.31,5.85825010518945,283.5286873
919.211,0.247489,18.27,213.31,5.85825010518945,283.5286873
928.783,0.237352,18.27,213.31,5.85825010518945,283.5286873
938.356,0.271343,18.27,213.31,5.85825010518945,283.5286873
947.928,0.236354,18.27,213.31,5.85825010518945,283.5286873
957.5,0.213539,18.27,213.31,5.85825010518945,283.5286873
967.073,0.204799,18.27,213.31,5.85825010518945,283.5286873
976.645,0.197132,18.27,213.31,5.85825010518945,283.5286873
986.218,0.196261,18.27,213.31,5.85825010518945,283.5286873
995.79,0.192229,18.27,213.31,5.85825010518945,283.5286873
1005.36,0.194061,18.27,213.31,5.85825010518945,283.5286873
1014.94,0.19297,18.27,213.31,5.85825010518945,283.5286873
1024.51,0.196993,18.27,213.31,5.85825010518945,283.5286873
1034.08,0.198533,18.27,213.31,5.85825010518945,283.5286873
1043.65,0.200531,18.27,213.31,5.85825010518945,283.5286873
1053.23,0.200252,18.27,213.31,5.85825010518945,283.5286873
1062.8,0.199319,18.27,213.31,5.85825010518945,283.5286873
1072.37,0.201286,18.27,213.31,5.85825010518945,283.5286873
1081.94,0.202647,18.27,213.31,5.85825010518945,283.5286873
1091.52,0.20449,18.27,213.31,5.85825010518945,283.5286873
1101.09,0.204355,18.27,213.31,5.85825010518945,283.5286873
1110.66,0.201223,18.27,213.31,5.85825010518945,283.5286873
1120.23,0.215679,18.27,213.31,5.85825010518945,283.5286873
1129.81,0.241427,18.27,213.31,5.85825010518945,283.5286873
1139.38,0.232016,18.27,213.31,5.85825010518945,283.5286873
1148.95,0.226111,18.27,213.31,5.85825010518945,283.5286873
1158.52,0.22117,18.27,213.31,5.85825010518945,283.5286873
1168.1,0.214975,18.27,213.31,5.85825010518945,283.5286873
1177.67,0.209316,18.27,213.31,5.85825010518945,283.5286873
1187.24,0.213191,18.27,213.31,5.85825010518945,283.5286873
1196.81,0.213222,18.27,213.31,5.85825010518945,283.5286873
1206.39,0.217491,18.27,213.31,5.85825010518945,283.5286873
1215.96,0.216204,18.27,213.31,5.85825010518945,283.5286873
1225.53,0.217713,18.27,213.31,5.85825010518945,283.5286873
1235.1,0.219061,18.27,213.31,5.85825010518945,283.5286873
1244.68,0.220732,18.27,213.31,5.85825010518945,283.5286873
1254.25,0.220001,18.27,213.31,5.85825010518945,283.5286873
1263.82,0.222593,18.27,213.31,5.85825010518945,283.5286873
1273.39,0.226844,18.27,213.31,5.85825010518945,283.5286873
1282.97,0.226186,18.27,213.31,5.85825010518945,283.5286873
1292.54,0.224935,18.27,213.31,5.85825010518945,283.5286873
1302.11,0.22425,18.27,213.31,5.85825010518945,283.5286873
1311.68,0.224638,18.27,213.31,5.85825010518945,283.5286873
1321.26,0.222795,18.27,213.31,5.85825010518945,283.5286873
1330.83,0.223498,18.27,213.31,5.85825010518945,283.5286873
1340.4,0.222996,18.27,213.31,5.85825010518945,283.5286873
1349.97,0.225512,18.27,213.31,5.85825010518945,283.5286873
1359.55,0,18.27,213.31,5.85825010518945,283.5286873
1369.12,0,18.27,213.31,5.85825010518945,283.5286873
