Wavelength,Reflectance,Solar zenith,Solar azimuth,Sensor zenith,Sensor azimuth
890.493,0,18.26,213.28,7.88016022975529,283.499615
900.066,0,18.26,213.28,7.88016022975529,283.499615
909.638,0.316373,18.26,213.28,7.88016022975529,283.499615
919.211,0.214538,18.26,213.28,7.88016022975529,283.499615
928.783,0.203793,18.26,213.28,7.88016022975529,283.499615
938.356,0.231839,18.26,213.28,7.88016022975529,283.499615
947.928,0.202609,18.26,213.28,7.88016022975529,283.499615
957.5,0.180072,18.26,213.28,7.88016022975529,283.499615
967.073,0.170246,18.26,213.28,7.88016022975529,283.499615
976.645,0.159737,18.26,213.28,7.88016022975529,283.499615
986.218,0.160289,18.26,213.28,7.88016022975529,283.499615
995.79,0.155926,18.26,213.28,7.88016022975529,283.499615
1005.36,0.156934,18.26,213.28,7.88016022975529,283.499615
1014.94,0.157978,18.26,213.28,7.88016022975529,283.499615
1024.51,0.159267,18.26,213.28,7.88016022975529,283.499615
1034.08,0.159435,18.26,213.28,7.88016022975529,283.499615
1043.65,0.162027,18.26,213.28,7.88016022975529,283.499615
1053.23,0.162649,18.26,213.28,7.88016022975529,283.499615
1062.8,0.163444,18.26,213.28,7.88016022975529,283.499615
1072.37,0.164914,18.26,213.28,7.88016022975529,283.499615
1081.94,0.163345,18.26,213.28,7.88016022975529,283.499615
1091.52,0.165767,18.26,213.28,7.88016022975529,283.499615
1101.09,0.165695,18.26,213.28,7.88016022975529,283.499615
1110.66,0.16367,18.26,213.28,7.88016022975529,283.499615
1120.23,0.176037,18.26,213.28,7.88016022975529,283.499615
1129.81,0.19953,18.26,213.28,7.88016022975529,283.499615
1139.38,0.189731,18.26,213.28,7.88016022975529,283.499615
1148.95,0.189771,18.26,213.28,7.88016022975529,283.499615
1158.52,0.181754,18.26,213.28,7.88016022975529,283.499615
1168.1,0.17175,18.26,213.28,7.88016022975529,283.499615
1177.67,0.169211,18.26,213.28,7.88016022975529,283.499615
1187.24,0.171526,18.26,213.28,7.88016022975529,283.499615
1196.81,0.170058,18.26,213.28,7.88016022975529,283.499615
1206.39,0.17519,18.26,213.28,7.88016022975529,283.499615
1215.96,0.174524,18.26,213.28,7.88016022975529,283.499615
1225.53,0.174437,18.26,213.28,7.88016022975529,283.499615
1235.1,0.176363,18.26,213.28,7.88016022975529,283.499615
1244.68,0.177737,18.26,213.28,7.88016022975529,283.499615
1254.25,0.177832,18.26,213.28,7.88016022975529,283.499615
1263.82,0.180142,18.26,213.28,7.88016022975529,283.499615
1273.39,0.184227,18.26,213.28,7.88016022975529,283.499615
1282.97,0.183924,18.26,213.28,7.88016022975529,283.499615
1292.54,0.183127,18.26,213.28,7.88016022975529,283.499615
1302.11,0.180722,18.26,213.28,7.88016022975529,283.499615
