Wavelength,Reflectance,Solar zenith,Solar azimuth,Sensor zenith,Sensor azimuth
890.492981,0,18.45,145.58,7.64608849750074,287.8823434
900.065979,0,18.45,145.58,7.64608849750074,287.8823434
909.638,0.12682,18.45,145.58,7.64608849750074,287.8823434
919.210999,0.130533,18.45,145.58,7.64608849750074,287.8823434
928.78302,0.125768,18.45,145.58,7.64608849750074,287.8823434
938.356018,0.123307,18.45,145.58,7.64608849750074,287.8823434
947.927979,0.130299,18.45,145.58,7.64608849750074,287.8823434
957.5,0.127753,18.45,145.58,7.64608849750074,287.8823434
967.072998,0.132001,18.45,145.58,7.64608849750074,287.8823434
976.64502,0.132365,18.45,145.58,7.64608849750074,287.8823434
986.218018,0.133804,18.45,145.58,7.64608849750074,287.8823434
995.789978,0.135069,18.45,145.58,7.64608849750074,287.8823434
1005.359985,0.136663,18.45,145.58,7.64608849750074,287.8823434
1014.940002,0.138296,18.45,145.58,7.64608849750074,287.8823434
1024.51001,0.139264,18.45,145.58,7.64608849750074,287.8823434
1034.079956,0.140755,18.45,145.58,7.64608849750074,287.8823434
1043.650024,0.142831,18.45,145.58,7.64608849750074,287.8823434
1053.22998,0.142694,18.45,145.58,7.64608849750074,287.8823434
1062.800049,0.143876,18.45,145.58,7.64608849750074,287.8823434
1072.369995,0.144754,18.45,145.58,7.64608849750074,287.8823434
1081.939941,0.145424,18.45,145.58,7.64608849750074,287.8823434
1091.52002,0.145814,18.45,145.58,7.64608849750074,287.8823434
1101.089966,0.146348,18.45,145.58,7.64608849750074,287.8823434
1110.660034,0.147216,18.45,145.58,7.64608849750074,287.8823434
1120.22998,0.145114,18.45,145.58,7.64608849750074,287.8823434
1129.810059,0.144988,18.45,145.58,7.64608849750074,287.8823434
1139.380005,0.148053,18.45,145.58,7.64608849750074,287.8823434
1148.949951,0.143872,18.45,145.58,7.64608849750074,287.8823434
1158.52002,0.144593,18.45,145.58,7.64608849750074,287.8823434
1168.099976,0.146919,18.45,145.58,7.64608849750074,287.8823434
1177.670044,0.147816,18.45,145.58,7.64608849750074,287.8823434
1187.23999,0.149155,18.45,145.58,7.64608849750074,287.8823434
1196.810059,0.149268,18.45,145.58,7.64608849750074,287.8823434
1206.390015,0.152032,18.45,145.58,7.64608849750074,287.8823434
1215.959961,0.153273,18.45,145.58,7.64608849750074,287.8823434
1225.530029,0.154622,18.45,145.58,7.64608849750074,287.8823434
1235.099976,0.158159,18.45,145.58,7.64608849750074,287.8823434
1244.680054,0.159159,18.45,145.58,7.64608849750074,287.8823434
1254.25,0.160221,18.45,145.58,7.64608849750074,287.8823434
1263.819946,0.161814,18.45,145.58,7.64608849750074,287.8823434
1273.390015,0.162401,18.45,145.58,7.64608849750074,287.8823434
1282.969971,0.164321,18.45,145.58,7.64608849750074,287.8823434
1292.540039,0.16425,18.45,145.58,7.64608849750074,287.8823434
1302.109985,0.163738,18.45,145.58,7.64608849750074,287.8823434
1311.680054,0.162674,18.45,145.58,7.64608849750074,287.8823434
1321.26001,0.161334,18.45,145.58,7.64608849750074,287.8823434
1330.829956,0.159352,18.45,145.58,7.64608849750074,287.8823434
1340.400024,0.156227,18.45,145.58,7.64608849750074,287.8823434
1349.969971,0.143528,18.45,145.58,7.64608849750074,287.8823434
1359.550049,0,18.45,145.58,7.64608849750074,287.8823434
1369.119995,0,18.45,145.58,7.64608849750074,287.8823434
1378.689941,0,18.45,145.58,7.64608849750074,287.8823434
1388.26001,0,18.45,145.58,7.64608849750074,287.8823434
1397.839966,0,18.45,145.58,7.64608849750074,287.8823434
1407.410034,0,18.45,145.58,7.64608849750074,287.8823434
1416.97998,0.03187,18.45,145.58,7.64608849750074,287.8823434
1426.550049,0.03378,18.45,145.58,7.64608849750074,287.8823434
1436.119995,0.059767,18.45,145.58,7.64608849750074,287.8823434
1445.699951,0.068608,18.45,145.58,7.64608849750074,287.8823434
1455.27002,0.072748,18.45,145.58,7.64608849750074,287.8823434
1464.839966,0.075113,18.45,145.58,7.64608849750074,287.8823434
1474.410034,0.079423,18.45,145.58,7.64608849750074,287.8823434
1483.98999,0.082895,18.45,145.58,7.64608849750074,287.8823434
1493.560059,0.09112,18.45,145.58,7.64608849750074,287.8823434
1503.130005,0.096697,18.45,145.58,7.64608849750074,287.8823434
1512.699951,0.102298,18.45,145.58,7.64608849750074,287.8823434
1522.280029,0.109251,18.45,145.58,7.64608849750074,287.8823434
1531.849976,0.11566,18.45,145.58,7.64608849750074,287.8823434
1541.420044,0.12078,18.45,145.58,7.64608849750074,287.8823434
1550.98999,0.127062,18.45,145.58,7.64608849750074,287.8823434
1560.569946,0.13163,18.45,145.58,7.64608849750074,287.8823434
1570.140015,0.136469,18.45,145.58,7.64608849750074,287.8823434
1579.709961,0.139659,18.45,145.58,7.64608849750074,287.8823434
1589.280029,0.144428,18.45,145.58,7.64608849750074,287.8823434
1598.859985,0.147043,18.45,145.58,7.64608849750074,287.8823434
1608.430054,0.150237,18.45,145.58,7.64608849750074,287.8823434
1618,0.153118,18.45,145.58,7.64608849750074,287.8823434
1627.569946,0.154775,18.45,145.58,7.64608849750074,287.8823434
1637.150024,0.153972,18.45,145.58,7.64608849750074,287.8823434
1646.719971,0.151735,18.45,145.58,7.64608849750074,287.8823434
1656.290039,0.151296,18.45,145.58,7.64608849750074,287.8823434
1665.859985,0.161781,18.45,145.58,7.64608849750074,287.8823434
1675.439941,0.166996,18.45,145.58,7.64608849750074,287.8823434
1685.01001,0.167819,18.45,145.58,7.64608849750074,287.8823434
1694.579956,0.167754,18.45,145.58,7.64608849750074,287.8823434
1704.150024,0.166159,18.45,145.58,7.64608849750074,287.8823434
1713.72998,0.164707,18.45,145.58,7.64608849750074,287.8823434
1723.300049,0.163685,18.45,145.58,7.64608849750074,287.8823434
1732.869995,0.162128,18.45,145.58,7.64608849750074,287.8823434
1742.439941,0.159034,18.45,145.58,7.64608849750074,287.8823434
1752.02002,0.154845,18.45,145.58,7.64608849750074,287.8823434
1761.589966,0.149789,18.45,145.58,7.64608849750074,287.8823434
1771.160034,0.14574,18.45,145.58,7.64608849750074,287.8823434
1780.72998,0.141639,18.45,145.58,7.64608849750074,287.8823434
1790.310059,0.140008,18.45,145.58,7.64608849750074,287.8823434
1799.880005,0.132778,18.45,145.58,7.64608849750074,287.8823434
1809.449951,0.036262,18.45,145.58,7.64608849750074,287.8823434
1819.02002,0,18.45,145.58,7.64608849750074,287.8823434
1828.599976,0,18.45,145.58,7.64608849750074,287.8823434
1838.170044,0,18.45,145.58,7.64608849750074,287.8823434
1847.73999,0,18.45,145.58,7.64608849750074,287.8823434
1857.310059,0,18.45,145.58,7.64608849750074,287.8823434
1866.890015,0,18.45,145.58,7.64608849750074,287.8823434
1876.459961,0,18.45,145.58,7.64608849750074,287.8823434
1886.030029,0,18.45,145.58,7.64608849750074,287.8823434
1895.599976,0,18.45,145.58,7.64608849750074,287.8823434
1905.180054,0,18.45,145.58,7.64608849750074,287.8823434
1914.75,0,18.45,145.58,7.64608849750074,287.8823434
1924.319946,0,18.45,145.58,7.64608849750074,287.8823434
1933.890015,0,18.45,145.58,7.64608849750074,287.8823434
1943.469971,0.030601,18.45,145.58,7.64608849750074,287.8823434
1953.040039,0.03188,18.45,145.58,7.64608849750074,287.8823434
