Wavelength,Reflectance,Solar zenith,Solar azimuth,Sensor zenith,Sensor azimuth
890.493,0,18.26,213.3,5.39277334916564,284.4986438
900.066,0,18.26,213.3,5.39277334916564,284.4986438
909.638,0.578791,18.26,213.3,5.39277334916564,284.4986438
919.211,0.42471,18.26,213.3,5.39277334916564,284.4986438
928.783,0.412831,18.26,213.3,5.39277334916564,284.4986438
938.356,0.452421,18.26,213.3,5.39277334916564,284.4986438
947.928,0.413151,18.26,213.3,5.39277334916564,284.4986438
957.5,0.390264,18.26,213.3,5.39277334916564,284.4986438
967.073,0.377736,18.26,213.3,5.39277334916564,284.4986438
976.645,0.367869,18.26,213.3,5.39277334916564,284.4986438
986.218,0.365541,18.26,213.3,5.39277334916564,284.4986438
995.79,0.360504,18.26,213.3,5.39277334916564,284.4986438
1005.36,0.360756,18.26,213.3,5.39277334916564,284.4986438
1014.94,0.362818,18.26,213.3,5.39277334916564,284.4986438
1024.51,0.365774,18.26,213.3,5.39277334916564,284.4986438
1034.08,0.366302,18.26,213.3,5.39277334916564,284.4986438
1043.65,0.369898,18.26,213.3,5.39277334916564,284.4986438
1053.23,0.368736,18.26,213.3,5.39277334916564,284.4986438
1062.8,0.368662,18.26,213.3,5.39277334916564,284.4986438
1072.37,0.371629,18.26,213.3,5.39277334916564,284.4986438
1081.94,0.371422,18.26,213.3,5.39277334916564,284.4986438
1091.52,0.37172,18.26,213.3,5.39277334916564,284.4986438
1101.09,0.373404,18.26,213.3,5.39277334916564,284.4986438
1110.66,0.36643,18.26,213.3,5.39277334916564,284.4986438
1120.23,0.385544,18.26,213.3,5.39277334916564,284.4986438
1129.81,0.421656,18.26,213.3,5.39277334916564,284.4986438
1139.38,0.404666,18.26,213.3,5.39277334916564,284.4986438
1148.95,0.410529,18.26,213.3,5.39277334916564,284.4986438
1158.52,0.406694,18.26,213.3,5.39277334916564,284.4986438
1168.1,0.389906,18.26,213.3,5.39277334916564,284.4986438
1177.67,0.388839,18.26,213.3,5.39277334916564,284.4986438
1187.24,0.393825,18.26,213.3,5.39277334916564,284.4986438
1196.81,0.39083,18.26,213.3,5.39277334916564,284.4986438
1206.39,0.396436,18.26,213.3,5.39277334916564,284.4986438
1215.96,0.398246,18.26,213.3,5.39277334916564,284.4986438
1225.53,0.395355,18.26,213.3,5.39277334916564,284.4986438
1235.1,0.398122,18.26,213.3,5.39277334916564,284.4986438
1244.68,0.398067,18.26,213.3,5.39277334916564,284.4986438
1254.25,0.399744,18.26,213.3,5.39277334916564,284.4986438
1263.82,0.401807,18.26,213.3,5.39277334916564,284.4986438
1273.39,0.407317,18.26,213.3,5.39277334916564,284.4986438
1282.97,0.407586,18.26,213.3,5.39277334916564,284.4986438
1292.54,0.406446,18.26,213.3,5.39277334916564,284.4986438
1302.11,0.407083,18.26,213.3,5.39277334916564,284.4986438
1311.68,0.411218,18.26,213.3,5.39277334916564,284.4986438
1321.26,0.410746,18.26,213.3,5.39277334916564,284.4986438
1330.83,0.414618,18.26,213.3,5.39277334916564,284.4986438
1340.4,0.411118,18.26,213.3,5.39277334916564,284.4986438
1349.97,0.435987,18.26,213.3,5.39277334916564,284.4986438
1359.55,0,18.26,213.3,5.39277334916564,284.4986438
1369.12,0,18.26,213.3,5.39277334916564,284.4986438
1378.69,0,18.26,213.3,5.39277334916564,284.4986438
1388.26,0,18.26,213.3,5.39277334916564,284.4986438
