Wavelength,Reflectance,Solar zenith,Solar azimuth,Sensor zenith,Sensor azimuth
890.492981,0,18.44,145.61,4.41566763951921,287.7951968
900.065979,0,18.44,145.61,4.41566763951921,287.7951968
909.638,0.101899,18.44,145.61,4.41566763951921,287.7951968
919.210999,0.109313,18.44,145.61,4.41566763951921,287.7951968
928.78302,0.098708,18.44,145.61,4.41566763951921,287.7951968
938.356018,0.10667,18.44,145.61,4.41566763951921,287.7951968
947.927979,0.109164,18.44,145.61,4.41566763951921,287.7951968
957.5,0.10482,18.44,145.61,4.41566763951921,287.7951968
967.072998,0.109748,18.44,145.61,4.41566763951921,287.7951968
976.64502,0.106865,18.44,145.61,4.41566763951921,287.7951968
986.218018,0.108018,18.44,145.61,4.41566763951921,287.7951968
995.789978,0.109378,18.44,145.61,4.41566763951921,287.7951968
1005.359985,0.111344,18.44,145.61,4.41566763951921,287.7951968
1014.940002,0.111626,18.44,145.61,4.41566763951921,287.7951968
1024.51001,0.112592,18.44,145.61,4.41566763951921,287.7951968
1034.079956,0.11398,18.44,145.61,4.41566763951921,287.7951968
1043.650024,0.115176,18.44,145.61,4.41566763951921,287.7951968
1053.22998,0.115686,18.44,145.61,4.41566763951921,287.7951968
1062.800049,0.116008,18.44,145.61,4.41566763951921,287.7951968
1072.369995,0.117982,18.44,145.61,4.41566763951921,287.7951968
1081.939941,0.1162,18.44,145.61,4.41566763951921,287.7951968
1091.52002,0.117937,18.44,145.61,4.41566763951921,287.7951968
1101.089966,0.118746,18.44,145.61,4.41566763951921,287.7951968
1110.660034,0.117876,18.44,145.61,4.41566763951921,287.7951968
1120.22998,0.113501,18.44,145.61,4.41566763951921,287.7951968
1129.810059,0.118893,18.44,145.61,4.41566763951921,287.7951968
1139.380005,0.118095,18.44,145.61,4.41566763951921,287.7951968
1148.949951,0.116821,18.44,145.61,4.41566763951921,287.7951968
1158.52002,0.117389,18.44,145.61,4.41566763951921,287.7951968
1168.099976,0.117956,18.44,145.61,4.41566763951921,287.7951968
1177.670044,0.118771,18.44,145.61,4.41566763951921,287.7951968
1187.23999,0.119636,18.44,145.61,4.41566763951921,287.7951968
1196.810059,0.120012,18.44,145.61,4.41566763951921,287.7951968
1206.390015,0.121824,18.44,145.61,4.41566763951921,287.7951968
1215.959961,0.123421,18.44,145.61,4.41566763951921,287.7951968
1225.530029,0.123943,18.44,145.61,4.41566763951921,287.7951968
1235.099976,0.126184,18.44,145.61,4.41566763951921,287.7951968
1244.680054,0.127338,18.44,145.61,4.41566763951921,287.7951968
1254.25,0.128881,18.44,145.61,4.41566763951921,287.7951968
