Wavelength,Reflectance,Solar zenith,Solar azimuth,Sensor zenith,Sensor azimuth
890.493,0,38.64,257.66,13.8652836362934,315.3472379
900.066,0,38.64,257.66,13.8652836362934,315.3472379
909.638,0.519726,38.64,257.66,13.8652836362934,315.3472379
919.211,0.440404,38.64,257.66,13.8652836362934,315.3472379
928.783,0.394434,38.64,257.66,13.8652836362934,315.3472379
938.356,0.439387,38.64,257.66,13.8652836362934,315.3472379
947.928,0.420479,38.64,257.66,13.8652836362934,315.3472379
957.5,0.408341,38.64,257.66,13.8652836362934,315.3472379
967.073,0.406891,38.64,257.66,13.8652836362934,315.3472379
976.645,0.398257,38.64,257.66,13.8652836362934,315.3472379
986.218,0.402063,38.64,257.66,13.8652836362934,315.3472379
995.79,0.39906,38.64,257.66,13.8652836362934,315.3472379
1005.36,0.400763,38.64,257.66,13.8652836362934,315.3472379
1014.94,0.403619,38.64,257.66,13.8652836362934,315.3472379
1024.51,0.403817,38.64,257.66,13.8652836362934,315.3472379
1034.08,0.406692,38.64,257.66,13.8652836362934,315.3472379
1043.65,0.410229,38.64,257.66,13.8652836362934,315.3472379
1053.23,0.409393,38.64,257.66,13.8652836362934,315.3472379
1062.8,0.413653,38.64,257.66,13.8652836362934,315.3472379
1072.37,0.414629,38.64,257.66,13.8652836362934,315.3472379
1081.94,0.416608,38.64,257.66,13.8652836362934,315.3472379
1091.52,0.416089,38.64,257.66,13.8652836362934,315.3472379
1101.09,0.413935,38.64,257.66,13.8652836362934,315.3472379
1110.66,0.402124,38.64,257.66,13.8652836362934,315.3472379
1120.23,0.396631,38.64,257.66,13.8652836362934,315.3472379
1129.81,0.44679,38.64,257.66,13.8652836362934,315.3472379
1139.38,0.438795,38.64,257.66,13.8652836362934,315.3472379
1148.95,0.446608,38.64,257.66,13.8652836362934,315.3472379
1158.52,0.45291,38.64,257.66,13.8652836362934,315.3472379
1168.1,0.441573,38.64,257.66,13.8652836362934,315.3472379
1177.67,0.441007,38.64,257.66,13.8652836362934,315.3472379
1187.24,0.44835,38.64,257.66,13.8652836362934,315.3472379
1196.81,0.446484,38.64,257.66,13.8652836362934,315.3472379
1206.39,0.455175,38.64,257.66,13.8652836362934,315.3472379
1215.96,0.456264,38.64,257.66,13.8652836362934,315.3472379
1225.53,0.458963,38.64,257.66,13.8652836362934,315.3472379
1235.1,0.459109,38.64,257.66,13.8652836362934,315.3472379
1244.68,0.462943,38.64,257.66,13.8652836362934,315.3472379
1254.25,0.461468,38.64,257.66,13.8652836362934,315.3472379
1263.82,0.462975,38.64,257.66,13.8652836362934,315.3472379
1273.39,0.47631,38.64,257.66,13.8652836362934,315.3472379
1282.97,0.475755,38.64,257.66,13.8652836362934,315.3472379
1292.54,0.473289,38.64,257.66,13.8652836362934,315.3472379
1302.11,0.473767,38.64,257.66,13.8652836362934,315.3472379
1311.68,0.477263,38.64,257.66,13.8652836362934,315.3472379
1321.26,0.478644,38.64,257.66,13.8652836362934,315.3472379
1330.83,0.471153,38.64,257.66,13.8652836362934,315.3472379
1340.4,0.459733,38.64,257.66,13.8652836362934,315.3472379
1349.97,0.365423,38.64,257.66,13.8652836362934,315.3472379
1359.55,0,38.64,257.66,13.8652836362934,315.3472379
1369.12,0,38.64,257.66,13.8652836362934,315.3472379
1378.69,0,38.64,257.66,13.8652836362934,315.3472379
1388.26,0,38.64,257.66,13.8652836362934,315.3472379
1397.84,0,38.64,257.66,13.8652836362934,315.3472379
