Wavelength,Reflectance,Solar zenith,Solar azimuth,Sensor zenith,Sensor azimuth
890.493,0,18.28,213.37,12.6971797067798,283.8704523
900.066,0,18.28,213.37,12.6971797067798,283.8704523
909.638,0.301589,18.28,213.37,12.6971797067798,283.8704523
919.211,0.205406,18.28,213.37,12.6971797067798,283.8704523
928.783,0.198829,18.28,213.37,12.6971797067798,283.8704523
938.356,0.223964,18.28,213.37,12.6971797067798,283.8704523
947.928,0.192714,18.28,213.37,12.6971797067798,283.8704523
957.5,0.174974,18.28,213.37,12.6971797067798,283.8704523
967.073,0.164342,18.28,213.37,12.6971797067798,283.8704523
976.645,0.155902,18.28,213.37,12.6971797067798,283.8704523
986.218,0.153733,18.28,213.37,12.6971797067798,283.8704523
995.79,0.15156,18.28,213.37,12.6971797067798,283.8704523
1005.36,0.15267,18.28,213.37,12.6971797067798,283.8704523
1014.94,0.153607,18.28,213.37,12.6971797067798,283.8704523
1024.51,0.155169,18.28,213.37,12.6971797067798,283.8704523
1034.08,0.155942,18.28,213.37,12.6971797067798,283.8704523
1043.65,0.157106,18.28,213.37,12.6971797067798,283.8704523
1053.23,0.158026,18.28,213.37,12.6971797067798,283.8704523
1062.8,0.158902,18.28,213.37,12.6971797067798,283.8704523
1072.37,0.160055,18.28,213.37,12.6971797067798,283.8704523
1081.94,0.160602,18.28,213.37,12.6971797067798,283.8704523
1091.52,0.161038,18.28,213.37,12.6971797067798,283.8704523
1101.09,0.161654,18.28,213.37,12.6971797067798,283.8704523
1110.66,0.156008,18.28,213.37,12.6971797067798,283.8704523
1120.23,0.174056,18.28,213.37,12.6971797067798,283.8704523
1129.81,0.202008,18.28,213.37,12.6971797067798,283.8704523
1139.38,0.183432,18.28,213.37,12.6971797067798,283.8704523
1148.95,0.185591,18.28,213.37,12.6971797067798,283.8704523
1158.52,0.177668,18.28,213.37,12.6971797067798,283.8704523
1168.1,0.167326,18.28,213.37,12.6971797067798,283.8704523
1177.67,0.165055,18.28,213.37,12.6971797067798,283.8704523
1187.24,0.167626,18.28,213.37,12.6971797067798,283.8704523
1196.81,0.166603,18.28,213.37,12.6971797067798,283.8704523
1206.39,0.16893,18.28,213.37,12.6971797067798,283.8704523
1215.96,0.170355,18.28,213.37,12.6971797067798,283.8704523
1225.53,0.171101,18.28,213.37,12.6971797067798,283.8704523
1235.1,0.171921,18.28,213.37,12.6971797067798,283.8704523
1244.68,0.172216,18.28,213.37,12.6971797067798,283.8704523
1254.25,0.174156,18.28,213.37,12.6971797067798,283.8704523
1263.82,0.17589,18.28,213.37,12.6971797067798,283.8704523
1273.39,0.179635,18.28,213.37,12.6971797067798,283.8704523
1282.97,0.179596,18.28,213.37,12.6971797067798,283.8704523
1292.54,0.177824,18.28,213.37,12.6971797067798,283.8704523
1302.11,0.176313,18.28,213.37,12.6971797067798,283.8704523
1311.68,0.174933,18.28,213.37,12.6971797067798,283.8704523
