Wavelength,Reflectance,Solar zenith,Solar azimuth,Sensor zenith,Sensor azimuth
890.493,0.535699,46.24,99.5,16.1300746708145,292.5787487
900.066,0.365978,46.24,99.5,16.1300746708145,292.5787487
909.638,0.307664,46.24,99.5,16.1300746708145,292.5787487
919.211,0.313989,46.24,99.5,16.1300746708145,292.5787487
928.783,0.329904,46.24,99.5,16.1300746708145,292.5787487
938.356,0.318196,46.24,99.5,16.1300746708145,292.5787487
947.928,0.312507,46.24,99.5,16.1300746708145,292.5787487
957.5,0.312945,46.24,99.5,16.1300746708145,292.5787487
967.073,0.315631,46.24,99.5,16.1300746708145,292.5787487
976.645,0.31988,46.24,99.5,16.1300746708145,292.5787487
986.218,0.32166,46.24,99.5,16.1300746708145,292.5787487
995.79,0.326392,46.24,99.5,16.1300746708145,292.5787487
1005.36,0.328562,46.24,99.5,16.1300746708145,292.5787487
1014.94,0.32858,46.24,99.5,16.1300746708145,292.5787487
1024.51,0.332657,46.24,99.5,16.1300746708145,292.5787487
1034.08,0.332951,46.24,99.5,16.1300746708145,292.5787487
1043.65,0.331198,46.24,99.5,16.1300746708145,292.5787487
1053.23,0.335694,46.24,99.5,16.1300746708145,292.5787487
1062.8,0.335397,46.24,99.5,16.1300746708145,292.5787487
1072.37,0.337288,46.24,99.5,16.1300746708145,292.5787487
1081.94,0.334518,46.24,99.5,16.1300746708145,292.5787487
1091.52,0.339816,46.24,99.5,16.1300746708145,292.5787487
1101.09,0.342229,46.24,99.5,16.1300746708145,292.5787487
1110.66,0.342196,46.24,99.5,16.1300746708145,292.5787487
1120.23,0.346371,46.24,99.5,16.1300746708145,292.5787487
1129.81,0.334836,46.24,99.5,16.1300746708145,292.5787487
1139.38,0.341508,46.24,99.5,16.1300746708145,292.5787487
1148.95,0.337651,46.24,99.5,16.1300746708145,292.5787487
1158.52,0.337497,46.24,99.5,16.1300746708145,292.5787487
1168.1,0.341295,46.24,99.5,16.1300746708145,292.5787487
1177.67,0.347667,46.24,99.5,16.1300746708145,292.5787487
1187.24,0.348153,46.24,99.5,16.1300746708145,292.5787487
1196.81,0.34836,46.24,99.5,16.1300746708145,292.5787487
1206.39,0.346534,46.24,99.5,16.1300746708145,292.5787487
1215.96,0.350712,46.24,99.5,16.1300746708145,292.5787487
1225.53,0.3515,46.24,99.5,16.1300746708145,292.5787487
1235.1,0.352762,46.24,99.5,16.1300746708145,292.5787487
1244.68,0.360432,46.24,99.5,16.1300746708145,292.5787487
1254.25,0.362687,46.24,99.5,16.1300746708145,292.5787487
1263.82,0.358864,46.24,99.5,16.1300746708145,292.5787487
1273.39,0.360151,46.24,99.5,16.1300746708145,292.5787487
1282.97,0.363035,46.24,99.5,16.1300746708145,292.5787487
1292.54,0.366834,46.24,99.5,16.1300746708145,292.5787487
1302.11,0.370084,46.24,99.5,16.1300746708145,292.5787487
1311.68,0.367888,46.24,99.5,16.1300746708145,292.5787487
1321.26,0.37144,46.24,99.5,16.1300746708145,292.5787487
1330.83,0.370324,46.24,99.5,16.1300746708145,292.5787487
1340.4,0.379711,46.24,99.5,16.1300746708145,292.5787487
1349.97,0.406476,46.24,99.5,16.1300746708145,292.5787487
1359.55,-0.23479,46.24,99.5,16.1300746708145,292.5787487
