3.208457710999999790e+01,3.208076928807281547e+01,6.590260552069031164e+00
3.162437810999999854e+01,3.150243102872095236e+01,9.166896416051876884e+00
3.072636815999999982e+01,2.992076658333055050e+01,1.758727021803229151e+00
2.889925373000000164e+01,2.842909397997688359e+01,4.328187816466032345e+00
2.755099501999999845e+01,2.456411551341110666e+01,4.089797056647923590e+00
2.647636815999999982e+01,2.883637058854910507e+01,4.199912081462262137e+00
2.241293531999999900e+01,2.285898330741770934e+01,4.091060211581172723e+00
2.110945273999999827e+01,2.225534052336615787e+01,4.127993580907693527e+00
1.914054726000000173e+01,2.033933833250391388e+01,4.301985232898555722e+00
1.806716417999999891e+01,1.729645373709617928e+01,4.310270661617938259e+00
