Run,SMC (%)
1,0
2,30.55552138
3,29.87265457
4,29.40510612
5,28.56967087
6,27.91264226
7,24.15872039
8,23.8948016
9,23.55582898
10,22.80652107
11,22.33035989
12,21.64626269
13,21.29744694
14,20.73946478
16,15.03045217
17,13.46539526
18,12.50815134
19,10.9209474
20,9.760689019
